normalized,raw,definition_fr
ADELAIDE,Adélaïde,1) Capitale et principale ville de l'État d'Australie-Méridionale. 2) Prénom féminin d'origine germanique.
ADELIE,Adélie,"Prénom féminin, diminutif d'Adèle."
ADELINE,Adeline,Prénom féminin dérivé d'Adèle.
ADENOT,Adenot,Nom de famille formé sur un diminutif médiéval d'Adam.
ADHOC,ADHOC,"Sigle de l'Association pour les droits de l'homme et le développement au Cambodge, organisation cambodgienne de défense des droits humains."
ADIABENE,Adiabène,"Ancien royaume de haute Mésopotamie, autour d'Arbèles (l'actuelle Erbil), vassal des Parthes puis de Rome."
ADQ,ADQ,"Sigle de l'Action démocratique du Québec, ancien parti de droite fondé en 1994 et absorbé par la Coalition avenir Québec en 2012."
ADRIENNE,Adrienne,"Prénom féminin, forme féminine d'Adrien."
AEAEA,Ææa,"Graphie archaïque d'Éa (Aeaea), île légendaire où réside la magicienne Circé dans l'Odyssée, le nom étant aussi associé à diverses figures divines grecques."
AEAQUE,Æaque,"Graphie archaïque d'Éaque, fils de Zeus devenu, après sa mort, l'un des trois juges des Enfers."
AEGEE,Ægée,"Graphie archaïque d'Égée, désignant le roi légendaire d'Athènes, père de Thésée, ou la mer Égée qui porte son nom."
AEGINE,Ægine,"Graphie archaïque d'Égine, île grecque du golfe Saronique."
AEGYPTE,Ægypte,Graphie archaïque d'Égypte.
AELE,AELE,"Sigle de l'Association européenne de libre-échange, qui réunit l'Islande, la Norvège, la Suisse et le Liechtenstein."
AENEE,Ænée,"Graphie ancienne d'Énée, prince troyen héros de l'Énéide et ancêtre mythique des Romains."
AENEIDE,Ænéide,"Graphie ancienne de l'Énéide, épopée latine de Virgile relatant le périple d'Énée."
AEOLIE,Æolie,"Graphie ancienne d'Éolie, nom des îles Éoliennes au nord de la Sicile et d'une région antique d'Asie Mineure."
AESOPE,Æsope,"Graphie ancienne d'Ésope, fabuliste grec de l'Antiquité."
AETHIOPIE,Æthiopie,Graphie ancienne d'Éthiopie.
AETOLIE,Ætolie,"Graphie archaïque d'Étolie, région de la Grèce centrale."
AEUMC,AÉUMC,"Variante du sigle désignant l'Accord États-Unis-Mexique-Canada, traité commercial nord-américain également appelé ACÉUM."
AFGHANISTAN,Afghanistan,"Pays sans littoral d'Asie, entre l'Asie centrale et le sous-continent indien, dont la capitale et principale ville est Kaboul."
AFN,AFN,"Sigle d'Afrique française du Nord, désignant l'ensemble formé par les anciennes possessions françaises d'Algérie, du Maroc et de Tunisie."
AFP,AFP,"Sigle de l'Agence France-Presse, agence de presse internationale française."
AFPC,AFPC,"Sigle de l'Alliance de la Fonction publique du Canada, principal syndicat des fonctionnaires fédéraux canadiens."
AFRIQUE,Afrique,"Continent situé au sud de l'Europe, entre l'océan Atlantique et l'océan Indien."
AGAMEMNON,Agamemnon,"Roi de Mycènes dans la mythologie grecque, chef de la coalition achéenne durant la guerre de Troie."
AGDE,Agde,"Ville et commune française du département de l'Hérault, en Occitanie, proche de la Méditerranée."
AGEN,Agen,"Ville française, préfecture du département de Lot-et-Garonne, en Nouvelle-Aquitaine, réputée pour ses pruneaux."
AGESILAS,Agésilas,"Nom de deux rois de Sparte, dont Agésilas II, souverain guerrier du IVe siècle av. J.-C."
AGGEE,Aggée,"Prophète de la Bible, l'un des douze petits prophètes, actif après le retour de l'exil de Babylone."
AGLY,Agly,"Fleuve côtier du sud de la France, dans les Pyrénées-Orientales, qui se jette dans la Méditerranée."
AGOUT,Agout,"Rivière du sud de la France, en Occitanie, affluent de la rive gauche du Tarn."
AITON,Aiton,"Commune française du département de la Savoie, en Auvergne-Rhône-Alpes."
AJA,AJA,"Sigle de l'Association de la jeunesse auxerroise, club de football français basé à Auxerre."
AKHANNOUCH,Akhannouch,"Nom de famille marocain, porté par Aziz Akhannouch, chef du gouvernement du Maroc depuis 2021."
AKKA,Akka,Roi de la cité sumérienne de Kish que la tradition mésopotamienne présente comme vaincu par Gilgamesh d'Uruk.
AKRAM,Akram,"Prénom masculin et nom de famille d'origine arabe, signifiant « le plus généreux »."
AKTAOU,Aktaou,"Ville portuaire de l'ouest du Kazakhstan, sur la mer Caspienne."
AKWESASNE,Akwesasne,"Territoire mohawk d'Amérique du Nord, à cheval sur la frontière entre l'État de New York, l'Ontario et le Québec."
ALAIS,Alais,"1) Graphie ancienne d'Alès, sous-préfecture du Gard. 2) Nom de famille."
ALASKA,Alaska,"État du nord-ouest de l'Amérique du Nord, le plus vaste des États-Unis, acheté à la Russie en 1867."
ALAT,Alat,"Localité portuaire d'Azerbaïdjan, sur la mer Caspienne, au sud de Bakou."
ALBANE,Albane,"Prénom féminin, forme féminine d'Alban."
ALBANIE,Albanie,"Pays du sud-est de l'Europe, dans les Balkans, ouvert sur l'Adriatique, dont la capitale est Tirana."
ALBERT,Albert,1) Prénom masculin d'origine germanique. 2) Nom de famille formé sur ce prénom.
ALBERTA,Alberta,"Province de l'ouest du Canada, entre la Colombie-Britannique et la Saskatchewan."
ALBERTE,Alberte,"Prénom féminin, forme féminine d'Albert."
ALBEZY,Albezy,"Lieu-dit de la commune de Brassac, dans le Tarn-et-Garonne."
ALBI,Albi,"Ville française, préfecture du département du Tarn, en Occitanie, connue pour sa cathédrale de brique et le peintre Toulouse-Lautrec."
ALBORG,Alborg,"Variante graphique d'Aalborg, ville du nord du Danemark."
ALCESTE,Alceste,"Prénom masculin ou féminin, nom de l'épouse d'Admète dans la mythologie grecque, qui accepte de mourir à sa place, et du personnage principal du Misanthrope de Molière."
ALCIBIADE,Alcibiade,"Homme d'État et général athénien du Ve siècle av. J.-C., élève de Socrate, célèbre pour ses revirements durant la guerre du Péloponnèse."
ALDEBARAN,Aldebaran,"Étoile la plus brillante de la constellation du Taureau, de teinte orangée."
ALEKSEI,Alekseï,"Prénom masculin russe, transcription d'Alekseï, équivalent d'Alexis."
ALEMANIE,Alémanie,"Territoire historique des Alamans, peuple germanique établi entre le Rhin, le Danube et les Alpes."
ALENA,ALENA,"Sigle de l'Accord de libre-échange nord-américain, en vigueur de 1994 à 2020 entre le Canada, les États-Unis et le Mexique."
ALENCON,Alençon,"Ville française, préfecture du département de l'Orne, en Normandie, réputée pour sa dentelle au point d'Alençon."
ALENYA,Alenya,"Graphie ancienne d'Alénya, commune des Pyrénées-Orientales, près de Perpignan."
ALEP,Alep,"Grande ville du nord de la Syrie, l'une des plus anciennes cités habitées sans interruption, et gouvernorat dont elle est le chef-lieu."
ALESI,Alesi,"Nom de famille d'origine italienne, notamment porté par le pilote de Formule 1 français Jean Alesi."
ALEX,Alex,"Prénom masculin ou féminin, abrégé d'Alexandre ou d'Alexandra."
ALEXA,Alexa,"Prénom féminin d'origine grecque, forme féminine d'Alex et diminutif d'Alexandra."
ALEXANDRE,Alexandre,"1) Prénom masculin d'origine grecque, porté notamment par Alexandre le Grand, roi de Macédoine et conquérant du IVe siècle av. J.-C. 2) Nom de famille formé sur ce prénom."
ALEXANDRIE,Alexandrie,"1) Grande ville portuaire d'Égypte, sur la Méditerranée, fondée par Alexandre le Grand, et gouvernorat qu'elle administre. 2) Alessandria, ville et province du Piémont, en Italie."
ALEXANDROVSK,Alexandrovsk,"Ancien nom de Zaporijjia, ville du sud-est de l'Ukraine."
ALFORTVILLE,Alfortville,"Commune française du Val-de-Marne, en Île-de-France, dans la banlieue sud-est de Paris."
ALGER,Alger,"1) Capitale de l'Algérie, port sur la Méditerranée. 2) La Régence d'Alger, province autonome et vassale de l'Empire ottoman sur le territoire de l'actuelle Algérie."
ALGERIE,Algérie,"Pays d'Afrique du Nord, le plus vaste du continent, bordé par la Méditerranée, dont la capitale est Alger."
ALIASSIME,Aliassime,Nom de famille porté par le joueur de tennis canadien Félix Auger-Aliassime.
ALIX,Alix,"Prénom, le plus souvent féminin, variante ancienne d'Alice."
ALIZEE,Alizée,"Prénom féminin, variante d'Alizé."
ALLARD,Allard,"Nom de famille d'origine germanique, formé sur un ancien prénom."
ALLEIN,Allein,"Commune de la Vallée d'Aoste, région alpine du nord-ouest de l'Italie."
ALLEMAGNE,Allemagne,"Pays d'Europe centrale, État fédéral le plus peuplé de l'Union européenne, dont la capitale est Berlin."
ALPHEE,Alphée,"Principal fleuve du Péloponnèse, en Grèce, et divinité fluviale de la mythologie grecque éprise de la nymphe Aréthuse."
ALTAI,Altaï,"Chaîne de montagnes d'Asie centrale, au carrefour de la Russie, du Kazakhstan, de la Mongolie et de la Chine, dont le nom désigne aussi des subdivisions administratives russes."
ALZEN,Alzen,"Commune française du département de l'Ariège, en Occitanie."
AMA,AMA,"Sigle de l'Agence mondiale antidopage, organisme international de lutte contre le dopage sportif."
AMALRIC,Amalric,"Prénom masculin d'origine germanique et nom de famille, équivalent d'Amaury, porté notamment par des rois latins de Jérusalem au XIIe siècle."
AMAND,Amand,"Prénom masculin d'origine latine, dont les formes féminines sont Amanda et Amandine."
AMANZE,Amanzé,"Petite commune française de Saône-et-Loire, en Bourgogne-Franche-Comté."
AMAURY,Amaury,"1) Prénom masculin d'origine germanique, équivalent d'Amalric. 2) Nom de famille, notamment celui de la famille qui édite le quotidien L'Équipe et organise le Tour de France."
AMAZONIE,Amazonie,"Vaste région d'Amérique du Sud couverte par la forêt tropicale drainée par le fleuve Amazone, partagée entre le Brésil et plusieurs pays voisins."
AMC,AMC,"Sigle d'Affaires mondiales Canada, ministère fédéral chargé des relations extérieures, du commerce international et de l'aide au développement."
AMERIQUE,Amérique,"1) Ensemble continental de l'hémisphère occidental réunissant l'Amérique du Nord, l'Amérique centrale et l'Amérique du Sud. 2) Par ellipse, les États-Unis."
AMERIQUES,Amériques,"Pluriel d'Amérique, désignant collectivement les sous-continents nord, centre et sud-américain."
AMHERST,Amherst,"Municipalité de canton de la région des Laurentides, au Québec, Canada."
AMIENS,Amiens,"Ville française, préfecture du département de la Somme, en Hauts-de-France, connue pour sa cathédrale gothique."
AMM,AMM,"Sigle d'« autorisation de mise sur le marché », agrément administratif requis pour commercialiser un médicament."
AMMERSCHWIHR,Ammerschwihr,"Commune viticole française du Haut-Rhin, en Alsace, près de Colmar."
AMOS,Amos,"1) Prophète de la Bible, l'un des douze petits prophètes, berger de Judée. 2) Ville de l'Abitibi-Témiscamingue, au Québec, Canada."
AMPHIPOLIS,Amphipolis,"Cité de la Grèce antique, en Macédoine, sur le Strymon, enjeu de la guerre du Péloponnèse."
AMSTERDAM,Amsterdam,"Capitale des Pays-Bas et principale ville de la province de Hollande-Septentrionale, sillonnée de canaux."
AMT,AMT,"Sigle de l'Agence métropolitaine de transport, ancien organisme de transport collectif de la région de Montréal, remplacé par le Réseau de transport métropolitain."
ANAEL,Anaël,Prénom mixte d'origine hébraïque.
ANANSI,Anansi,Figure de l'araignée rusée dans les contes akan d'Afrique de l'Ouest et des Caraïbes.
ANATOLIE,Anatolie,"Péninsule d'Asie occidentale formant la partie asiatique de la Turquie, aussi appelée Asie Mineure."
ANAVLOCHOS,Anavlochos,"Massif montagneux de l'est de la Crète, en Grèce, siège d'un sanctuaire antique."
ANAXAGORE,Anaxagore,"Philosophe présocratique grec du Ve siècle av. J.-C., qui plaçait l'intelligence à l'origine de l'ordre du monde."
ANAXARQUE,Anaxarque,"Philosophe grec de l'école de Démocrite, compagnon d'Alexandre le Grand."
ANAXIMANDRE,Anaximandre,"Philosophe présocratique de Milet, disciple de Thalès, qui posait l'illimité comme principe de toutes choses."
ANAXIMENE,Anaximène,"Philosophe présocratique de Milet, qui faisait de l'air le principe constitutif de l'univers."
ANCHORAGE,Anchorage,Ville la plus peuplée de l'État américain de l'Alaska.
ANCYRE,Ancyre,"Nom antique d'Ankara, capitale de la Galatie dans l'Antiquité."
ANDAHUAYLAS,Andahuaylas,"Ville des Andes du sud du Pérou, dans la région d'Apurímac."
ANDALOUSIE,Andalousie,"Communauté autonome du sud de l'Espagne, la plus peuplée du pays, ancienne région marquée par la présence musulmane."
ANDALUS,Andalus,"Variante d'al-Andalus, nom des territoires de la péninsule Ibérique sous domination musulmane au Moyen Âge."
ANDERLECHT,Anderlecht,"Commune de la Région de Bruxelles-Capitale, en Belgique, connue pour son club de football."
ANDES,Andes,Longue chaîne de montagnes bordant tout l'ouest de l'Amérique du Sud.
ANDIE,Andie,"Prénom mixte, diminutif d'André ou d'Andréa."
ANDOCIDE,Andocide,"Orateur athénien de l'Antiquité, compté parmi les dix orateurs attiques."
ANDORRE,Andorre,"Petit État des Pyrénées, entre la France et l'Espagne, placé sous l'autorité de deux coprinces."
ANDOY,Andoy,"Village de la commune de Namur, en Wallonie, Belgique."
ANDRE,André,"1) L'apôtre André, frère de Simon-Pierre, dans le Nouveau Testament. 2) Prénom masculin d'origine grecque. 3) Nom de famille formé sur ce prénom."
ANDREAN,Andréan,"Prénom d'origine grecque, dérivé d'André."
ANDREE,Andrée,"Prénom féminin, forme féminine d'André."
ANDRETTI,Andretti,"Nom de famille d'origine italienne, notamment celui du pilote automobile italo-américain Mario Andretti."
ANDRETTIS,Andrettis,"Pluriel d'Andretti, désignant les membres de cette famille de pilotes automobiles."
ANDRIN,Andrin,Nom de famille dérivé du prénom André.
ANDROS,Andros,"1) Île grecque, la plus septentrionale des Cyclades. 2) Chef-lieu de cette île."
ANGERS,Angers,"Ville française, préfecture du département de Maine-et-Loire, en Pays de la Loire, ancienne capitale de l'Anjou."
ANGLADE,Anglade,1) Commune française du département de la Gironde. 2) Nom de famille d'origine occitane.
ANGLEFORT,Anglefort,"Commune française du département de l'Ain, en Auvergne-Rhône-Alpes."
ANGOLA,Angola,"Pays d'Afrique australe, ancienne colonie portugaise riche en pétrole, dont la capitale est Luanda."
ANGOULEME,Angoulême,"Ville française, préfecture du département de la Charente, en Nouvelle-Aquitaine, hôte d'un festival international de la bande dessinée."
ANIANE,Aniane,"Petite commune française du département de l'Hérault, en Occitanie."
ANICHINABE,Anichinabé,"Peuple autochtone d'Amérique du Nord de la région des Grands Lacs, regroupant notamment les Ojibwés, les Odawas et les Algonquins."
ANJOUAN,Anjouan,"Île de l'archipel des Comores, dans l'océan Indien."
ANKARA,Ankara,"Capitale de la Turquie, au centre du pays, et nom de la province dont elle est le chef-lieu."
ANNAM,Annam,1) Nom ancien d'une partie du Viêt Nam sous domination chinoise. 2) Protectorat français du centre du Viêt Nam à l'époque de l'Indochine.
ANNE,Anne,"1) Prénom, le plus souvent féminin, d'origine hébraïque. 2) Sainte Anne, mère de la Vierge Marie dans la tradition chrétienne. 3) Nom de plusieurs personnages bibliques, dont la mère du prophète Samuel et une prophétesse de l'Évangile de Luc."
ANNECY,Annecy,"Ville française, préfecture de la Haute-Savoie, au bord d'un lac alpin réputé, en Auvergne-Rhône-Alpes."
ANNETTE,Annette,"Prénom féminin, diminutif d'Anne."
ANNICK,Annick,"Prénom féminin d'origine bretonne, diminutif d'Anne."
ANNONAY,Annonay,"Commune française du département de l'Ardèche, en Auvergne-Rhône-Alpes, où les frères Montgolfier firent la première démonstration publique de leur ballon en 1783."
ANP,ANP,"Sigle de l'Autorité nationale palestinienne, institution administrant une partie des territoires palestiniens."
ANTANANARIVO,Antananarivo,"Capitale et plus grande ville de Madagascar, sur les hauts plateaux du centre de l'île."
ANTIBES,Antibes,"Ville française des Alpes-Maritimes, sur la Côte d'Azur, en Provence-Alpes-Côte d'Azur."
ANTICLEE,Anticlée,"Mère d'Ulysse dans la mythologie grecque, qu'il rencontre parmi les morts lors de sa descente aux Enfers."
ANTICYTHERE,Anticythère,"Petite île grecque entre le Péloponnèse et la Crète, connue pour l'épave antique qui a livré la « machine d'Anticythère »."
ANTIGUE,Antigue,"Variante d'Antigua, île principale de l'État d'Antigua-et-Barbuda, dans les Caraïbes."
ANTILLES,Antilles,"Archipel séparant la mer des Caraïbes de l'océan Atlantique, réparti en Grandes et Petites Antilles."
ANTIOCHE,Antioche,"1) Cité antique de Syrie, aujourd'hui Antakya en Turquie, grand foyer de l'hellénisme et du christianisme primitif. 2) Antiochos, nom de plusieurs rois séleucides."
ANTIOCHENE,Antiochène,"Région historique d'Asie occidentale, autour de la ville d'Antioche."
ANTIPHON,Antiphon,"Orateur et logographe athénien du Ve siècle av. J.-C., le premier des dix orateurs attiques."
ANTIST,Antist,"Commune française du département des Hautes-Pyrénées, en Occitanie."
ANTISTHENE,Antisthène,"Philosophe grec, disciple de Socrate, tenu pour le fondateur de l'école cynique."
ANTOINE,Antoine,1) Prénom masculin d'origine latine. 2) Nom de famille formé sur ce prénom.
ANTOINETTE,Antoinette,"Prénom féminin, forme féminine et diminutive d'Antoine."
ANTRAS,Antras,"1) Commune française de l'Ariège, en Occitanie. 2) Commune française du Gers, en Occitanie. 3) Nom de famille d'origine occitane."
ANVERS,Anvers,"Grande ville portuaire du nord de la Belgique, sur l'Escaut, et province flamande dont elle est le chef-lieu."
AOR,AOR,"Sigle d'« Athlètes olympiques de Russie », bannière sous laquelle des sportifs russes ont concouru aux Jeux de 2018 en raison des sanctions liées au dopage."
AOSTE,Aoste,"1) Chef-lieu de la Vallée d'Aoste, région alpine du nord-ouest de l'Italie. 2) Commune française de l'Isère, en Auvergne-Rhône-Alpes."
AOUN,Aoun,"Nom de famille libanais d'origine arabe, notamment porté par Michel Aoun, président du Liban de 2016 à 2022."
AOUSTE,Aouste,"Commune française du département des Ardennes, en Grand Est."
AP,AP,"1) Abréviation d'Apples, commune du canton de Vaud, en Suisse. 2) Abréviation désignant l'awyer, une langue de Nouvelle-Guinée."
APAMEE,Apamée,"Nom de plusieurs cités antiques du Proche-Orient fondées à l'époque hellénistique, dont la plus connue s'élevait sur l'Oronte, en Syrie."
APAMENE,Apamène,"Région historique de Syrie, autour de la ville d'Apamée sur l'Oronte."
APENNINS,Apennins,Chaîne de montagnes parcourant toute la longueur de la péninsule italienne.
APLE,APLE,"Sigle d'Action pour les enfants, organisation de protection de l'enfance."
APOCOLOQUINTOSE,apocoloquintose,"Pamphlet satirique en prose et en vers attribué à Sénèque, qui raille la divinisation de l'empereur Claude après sa mort."
APOLLIN,Apollin,"Forme ancienne du nom d'Apollon, dieu grec de la lumière, des arts et de la divination, fils de Zeus."
APOLLODORE,Apollodore,"Nom de plusieurs auteurs grecs de l'Antiquité, dont le compilateur présumé de la « Bibliothèque » mythologique."
APPALACHES,Appalaches,"Chaîne de montagnes de l'est de l'Amérique du Nord, s'étendant du Canada jusqu'au sud des États-Unis."
APPLES,Apples,"Ancienne commune suisse du district de Morges, dans le canton de Vaud."
APT,Apt,"Commune française du département de Vaucluse, en Provence-Alpes-Côte d'Azur, réputée pour ses fruits confits."
APULEE,Apulée,"Écrivain latin du IIe siècle, originaire d'Afrique du Nord, auteur du roman « Les Métamorphoses », dit « L'Âne d'or »."
APURIMAC,Apurimac,Région des Andes du sud du Pérou.
AQUILEE,Aquilée,"Ville du nord-est de l'Italie, dans le Frioul, grand centre de l'Empire romain et siège patriarcal au Moyen Âge."
ARABIE,Arabie,"Vaste péninsule d'Asie du Sud-Ouest, entre la mer Rouge et le golfe Persique, occupée en majeure partie par l'Arabie saoudite."
ARAGON,Aragon,"1) Communauté autonome du nord-est de l'Espagne, ancien royaume médiéval réuni à la Castille à la fin du XVe siècle. 2) Louis Aragon (1897-1982), poète et romancier français, l'une des figures du surréalisme puis du communisme littéraire."
ARBACE,Arbace,"Nom d'un chef mède de la tradition antique, présenté comme le fondateur du royaume des Mèdes après la chute de l'Assyrie, et personnage récurrent de l'opéra baroque."
ARBAS,Arbas,"1) Commune française de la Haute-Garonne, en Occitanie. 2) Rivière de Haute-Garonne, affluent de la rive gauche du Salat. 3) Nom de famille d'origine espagnole."
ARBONNE,Arbonne,"Commune française des Pyrénées-Atlantiques, au Pays basque, en Nouvelle-Aquitaine."
ARBRISSEL,Arbrissel,"Commune française d'Ille-et-Vilaine, en Bretagne, berceau de Robert d'Arbrissel, fondateur de l'abbaye de Fontevraud."
ARCACHON,Arcachon,"Commune française de la Gironde, station balnéaire au bord d'un bassin ostréicole, en Nouvelle-Aquitaine."
ARCANGUES,Arcangues,"Commune française des Pyrénées-Atlantiques, au Pays basque, en Nouvelle-Aquitaine."
ARCEP,Arcep,"Sigle de l'Autorité de régulation des communications électroniques, des postes et de la distribution de la presse, régulateur français des télécommunications et du courrier."
ARCHAG,Archag,"Prénom masculin arménien, transcription d'Aršak."
ARCHAMBAULT,Archambault,"Nom de famille d'origine germanique, répandu au Québec."
ARCHEBULE,Archébule,"Poète grec de l'Antiquité, dont le nom est associé à un type de vers, l'archébuléen."
ARCHELAUS,Archélaüs,"Nom porté par plusieurs personnages de l'Antiquité grecque, dont un roi de Macédoine et un ethnarque de Judée fils d'Hérode le Grand."
ARCHEMAQUE,Archémaque,"Historien grec de l'Antiquité, auteur d'ouvrages sur l'Eubée."
ARCHILOQUE,Archiloque,"Poète lyrique et satirique grec du VIIe siècle av. J.-C., originaire de Paros, réputé pour ses vers mordants."
ARCHIMEDE,Archimède,"Savant grec de Syracuse du IIIe siècle av. J.-C., mathématicien et physicien, auteur de travaux sur la statique des fluides et le calcul des aires."
ARCOM,ARCOM,"Sigle de l'Autorité de régulation de la communication audiovisuelle et numérique, régulateur français des médias né en 2022 de la fusion du CSA et de la Hadopi."
ARDECHE,Ardèche,"1) Département du sud-est de la France, en Auvergne-Rhône-Alpes. 2) Rivière qui lui donne son nom, affluent de la rive droite du Rhône, célèbre pour ses gorges."
ARDENNE,Ardenne,"Variante d'Ardennes, massif forestier du nord-est de la France et de la Belgique."
ARDENNES,Ardennes,"1) Massif forestier de faible altitude partagé entre la France, la Belgique, le Luxembourg et l'Allemagne. 2) Département français du Grand Est."
ARDOUIN,Ardouin,"1) Nom de lieu français. 2) Nom de famille, variante d'Hardouin."
AREMORIQUE,Arémorique,"Variante d'Armorique, nom antique du nord-ouest de la Gaule, correspondant à peu près à la Bretagne actuelle."
